Cust_ID,Target, Age ,Gender, Balance ,Occupation,No_OF_CR_TXNS,AGE_BKT
C90,0,38,F,4820.78,SAL,34,36-40
C91,0,38,F,41111.36,SAL,28,36-40
C92,0,53,F,44633.89,SAL,9,>50
C93,0,44,F,2736.14,SAL,10,41-45
C94,0,28,F,80198.06,SELF-EMP,9,26-30
C95,0,35,F,36145.76,SELF-EMP,42,31-35
C96,0,43,F,27254.78,SAL,26,41-45
C97,0,30,F,79738.08,SAL,13,26-30
C98,0,46,F,77963.2,SAL,3,46-50
C99,0,34,F,79762.01,SAL,6,31-35
C100,0,49,F,60849.26,PROF,49,46-50
C101,0,50,F,182094.26,SAL,39,46-50
C102,0,49,F,104133.75,PROF,34,46-50
C103,0,40,F,212089.48,PROF,50,36-40
C104,0,41,F,212521.94,PROF,39,41-45
C105,0,32,F,7711.68,PROF,36,31-35
C106,0,49,F,194768.49,PROF,24,46-50
C107,0,49,F,11564.93,PROF,2,46-50
C108,0,52,F,126216.23,PROF,8,>50
C109,0,48,F,52066.01,PROF,31,46-50
C110,0,51,F,12685.91,SAL,23,>50
C111,0,40,F,31390.69,PROF,39,36-40
C112,0,48,F,15360.49,SELF-EMP,30,46-50
C113,0,49,F,16957.2,SAL,40,46-50
C114,0,41,F,86120.26,PROF,10,41-45
C115,0,31,F,21496.29,PROF,7,31-35
C116,0,49,F,152437.8,PROF,25,46-50
C117,0,25,F,36007.82,SAL,45,<25
C118,0,50,F,29448,PROF,3,46-50
C119,0,31,F,10846.55,SAL,18,31-35
C120,1,47,F,27247.08,SELF-EMP,11,46-50
C121,0,52,F,7507.37,SAL,43,>50
C122,0,54,F,243324.6,SAL,38,>50
C123,0,33,F,65830.34,PROF,7,31-35
C124,0,33,F,4563.4,SAL,26,31-35
C125,0,44,F,89058.99,PROF,36,41-45
C126,1,36,F,38721.74,,12,36-40
C127,1,29,F,50949.27,PROF,29,26-30
C128,1,49,F,82901.14,PROF,15,46-50
C129,1,43,F,36006.29,PROF,23,41-45
C130,0,54,F,13044.58,SAL,37,>50
C131,0,34,M,7557.73,SAL,6,31-35
C132,0,38,M,59186.07,PROF,20,36-40
C133,0,33,M,27597.86,SAL,1,31-35
C134,0,47,M,93507.65,PROF,24,46-50
C135,0,25,M,98275.21,SAL,30,<25
C136,0,48,M,120369.84,PROF,25,46-50
C137,0,28,M,88104.12,PROF,38,26-30
C138,0,25,M,60831.25,PROF,38,<25
C139,0,45,M,22461.34,SAL,40,41-45
C140,0,46,M,13648.4,SAL,1,46-50
C141,0,49,M,185636.01,SAL,37,46-50
C142,0,33,F,13113.7,SAL,5,31-35
C143,0,42,F,10192.41,SAL,7,41-45
C144,0,38,F,212521.94,SAL,46,36-40
C145,0,53,F,14826.07,SAL,31,>50
C146,0,53,F,53135.54,SAL,36,>50
C147,0,52,F,111715.02,PROF,13,>50
C148,0,44,F,13497.03,PROF,27,41-45
C149,0,54,F,4621.28,SAL,31,>50
C150,0,33,F,8669.5,SAL,25,31-35
C151,0,44,F,11821.84,PROF,43,41-45
C152,0,28,F,38269.59,SAL,14,26-30
C153,0,30,F,54704.88,PROF,50,26-30
C154,0,53,F,72814.87,SAL,31,>50
C155,0,47,F,138396.37,PROF,35,46-50
C156,0,37,F,27059.6,PROF,14,36-40
C157,0,25,F,25505.61,SAL,13,<25
C158,0,47,F,172872.43,SAL,3,46-50
C159,1,37,F,125523.92,SAL,24,36-40
C160,0,47,F,199423.86,PROF,21,46-50
C161,0,28,F,59254.63,PROF,13,26-30
C162,1,28,F,58897.12,PROF,16,26-30
C163,0,45,F,212521.94,SAL,5,41-45
C164,0,53,F,5686.27,PROF,45,>50
C165,1,47,F,212521.94,PROF,17,46-50
C166,1,29,F,201181.89,PROF,18,26-30
C167,1,34,F,6879.73,PROF,12,31-35
C168,1,23,F,32728.36,SAL,33,<25
C169,0,34,F,667325.08,PROF,37,31-35
C170,0,33,F,245500,PROF,38,31-35
C171,0,33,F,100647.62,PROF,27,31-35
C172,0,28,F,554538.52,SAL,0,26-30
C173,0,33,M,79132.83,PROF,48,31-35
C174,0,34,M,589630.3,SAL,42,31-35
C175,0,34,M,201181.89,SAL,9,31-35
C176,0,34,M,108090.83,SAL,32,31-35
C177,0,27,M,201181.89,SAL,3,26-30
C178,0,29,M,100231.82,PROF,5,26-30
C179,0,28,M,141228.42,SAL,31,26-30
C180,0,40,M,710106.95,SAL,4,36-40
C181,0,26,M,573946.29,SAL,13,26-30
C182,0,34,M,201181.89,SAL,35,31-35
C183,0,23,M,627960.17,SAL,42,<25
C184,0,22,M,201181.89,SAL,34,<25
C185,0,28,M,607419.4,SAL,24,26-30
C186,1,30,M,201181.89,SAL,20,26-30
C187,0,30,M,160733.76,SAL,49,26-30
C188,0,32,M,674674.51,SAL,3,31-35
C189,0,22,M,201181.89,SAL,8,<25
C190,0,41,M,238943.27,SAL,24,41-45
C191,0,32,M,238943.27,SAL,43,31-35
C192,0,30,M,576681.29,SAL,50,26-30
C193,0,29,M,238943.27,SAL,18,26-30
C194,0,27,M,8932.87,SAL,33,26-30
C195,0,27,M,27391.9,SAL,20,26-30
C196,0,29,M,667414.95,SAL,2,26-30
C197,0,31,M,509016.69,SAL,43,31-35
C198,1,29,M,53780.82,SAL,10,26-30
C199,0,42,M,672959.17,SAL,4,41-45
C200,0,34,M,40536.69,SELF-EMP,45,31-35
C201,0,26,M,652967.65,SAL,35,26-30
C202,0,35,M,690585.84,SAL,44,31-35
C203,0,29,M,242186.57,SAL,23,26-30
C204,1,24,M,30134.96,SELF-EMP,18,<25
C205,1,24,M,391931.21,SAL,21,<25
C206,1,28,M,7257.38,SAL,13,26-30
C207,1,24,F,330458.98,SAL,14,<25
C208,0,50,F,671831.29,SAL,12,46-50
C209,0,24,F,245500,SELF-EMP,7,<25
C210,0,32,F,144258.73,SAL,37,31-35
C211,0,47,F,684674.12,SAL,42,46-50
C212,0,32,F,98328.19,SAL,7,31-35
C213,0,41,F,690229.34,SELF-EMP,26,41-45
C214,0,41,F,245500,SAL,18,41-45
C215,0,38,M,1202625.81,PROF,33,36-40
C216,0,33,M,245500,SAL,24,31-35
C217,0,23,M,193048.94,PROF,21,<25
C218,0,45,M,108680.3,SAL,10,41-45
C219,0,35,M,38727.56,SELF-EMP,38,31-35
C220,0,28,M,192465.84,SELF-EMP,8,26-30
C221,0,26,M,165792.36,SAL,50,26-30
C222,0,23,M,107527.91,SAL,15,<25
C223,0,23,M,245500,SAL,35,<25
C224,0,38,M,36253.61,SAL,29,36-40
C225,0,23,M,606698.91,SELF-EMP,30,<25
C226,0,37,M,249809.73,SELF-EMP,5,36-40
C227,0,25,M,43776.39,SAL,6,<25
C228,0,24,M,781221.45,SAL,23,<25
C229,0,23,M,245500,SELF-EMP,3,<25
C230,0,28,M,26368.64,SELF-EMP,48,26-30
C231,0,25,M,234687.26,SELF-EMP,2,<25
C232,0,32,M,249809.73,SELF-EMP,35,31-35
C233,0,29,M,127750.71,SAL,31,26-30
C234,0,31,M,10188.44,SAL,18,31-35
C235,0,45,M,111408.24,SAL,43,41-45
C236,0,28,M,249809.73,SAL,18,26-30
C237,0,31,M,112516.84,SAL,25,31-35
C238,1,25,M,74105.46,SELF-EMP,15,<25
C239,0,36,M,249809.73,SAL,35,36-40
C240,0,46,M,926777.04,PROF,7,46-50
C241,0,23,M,532215.84,SAL,37,<25
C242,0,41,M,249809.73,SAL,29,41-45
C243,0,24,M,245500,SAL,39,<25
C244,0,35,M,730461.68,SAL,1,31-35
C245,1,27,F,249809.73,SAL,18,26-30
C246,1,25,F,54448.46,SELF-EMP,32,<25
C247,1,26,F,29255.92,SAL,16,26-30
C248,0,55,M,48845.48,SAL,7,>50
C249,0,25,M,755647.81,SELF-EMP,2,<25
C250,0,46,F,685014.12,SAL,27,46-50
C251,0,46,F,773059.09,SELF-EMP,23,46-50
C252,0,45,F,586764.26,PROF,28,41-45
C253,0,25,F,40728.97,SELF-EMP,29,<25
C254,0,26,F,722925.48,SAL,45,26-30
C255,0,39,F,249809.73,PROF,9,36-40
C256,0,24,F,552781.87,SAL,7,<25
C257,0,33,F,525905.49,SAL,10,31-35
C258,0,33,F,96428.23,SAL,41,31-35
C259,0,26,F,753374.92,SELF-EMP,23,26-30
C260,0,28,F,249809.73,SAL,22,26-30
C261,0,27,O,111544.52,PROF,20,26-30
C262,0,27,O,134243.57,SAL,39,26-30
C263,0,27,O,50500.59,SAL,7,26-30
C264,0,23,O,141861.04,SELF-EMP,2,<25
C265,0,47,O,22411.11,SAL,22,46-50
C266,0,47,O,935442.01,SAL,15,46-50
C267,0,21,O,43859.21,SAL,6,<25
C268,0,27,O,660337.7,PROF,34,26-30
C269,0,28,O,686659.36,SELF-EMP,33,26-30
C270,0,27,O,644712.72,SAL,36,26-30
C271,0,30,O,249809.73,SAL,48,26-30
C272,0,23,O,249809.73,SAL,41,<25
C273,0,23,M,149655.79,SAL,32,<25
C274,0,23,M,19405.53,SELF-EMP,15,<25
C275,0,25,M,799302.81,SAL,46,<25
C276,0,26,M,3282.89,SELF-EMP,5,26-30
C277,0,24,M,245500,SAL,7,<25
C278,1,23,M,338539.09,SELF-EMP,14,<25
C279,0,27,M,245500,SAL,3,26-30
C280,0,26,M,0,SELF-EMP,13,26-30
C281,0,22,M,59406,SELF-EMP,48,<25
C282,0,22,M,245500,SAL,9,<25
C283,0,45,M,72488.96,SAL,21,41-45
C284,1,35,M,430471.53,SELF-EMP,15,31-35
C285,1,32,M,113619.1,SELF-EMP,8,31-35
C286,1,41,M,167437.67,SELF-EMP,36,41-45
C287,1,36,M,153137.31,SELF-EMP,9,36-40
C288,0,35,M,243751.61,SAL,36,31-35
C289,0,38,M,32592.23,SAL,43,36-40
C290,0,28,M,232599.32,SAL,32,26-30
C291,0,22,M,245500,PROF,24,<25
C292,0,33,M,245500,PROF,40,31-35
C293,0,31,M,245500,PROF,35,31-35
C294,0,31,M,245500,PROF,32,31-35
C295,0,31,M,245500,PROF,49,31-35
C296,0,46,M,147057.66,PROF,17,46-50
C297,0,30,M,832435.72,PROF,49,26-30
C298,0,26,M,552629.98,SAL,23,26-30
C299,0,40,M,734084.94,SAL,9,36-40
C300,0,25,M,245500,PROF,7,<25
C301,0,28,M,593437.2,PROF,23,26-30
C302,0,32,M,716273.61,PROF,7,31-35
C303,0,31,M,33938.64,PROF,47,31-35
C304,0,22,M,176952.45,SAL,27,<25
C305,0,23,M,201244.06,PROF,9,<25
C306,0,43,M,32126.06,PROF,23,41-45
C307,0,43,M,245500,PROF,15,41-45
C308,0,43,M,63458.36,SAL,21,41-45
C309,0,39,M,245500,SAL,14,36-40
C310,0,26,M,245500,SAL,5,26-30
C311,0,25,M,188735.25,PROF,36,<25
C312,0,26,M,7333.42,SAL,4,26-30
C313,0,40,M,753377.9,PROF,12,36-40
C314,0,25,M,245500,PROF,1,<25
C315,0,31,M,631754.93,PROF,5,31-35
C316,0,26,M,170278.69,PROF,6,26-30
C317,0,31,M,136514.05,PROF,1,31-35
C318,1,32,M,237422.86,PROF,19,31-35
C319,0,55,M,42014.27,PROF,19,>50
C320,0,30,M,540571.25,PROF,14,26-30
C321,0,27,M,226789,SAL,8,26-30
C322,0,52,M,226789,SAL,49,>50
C323,0,55,M,248072.05,SAL,28,>50
C324,1,28,M,107493.86,SAL,17,26-30
C325,1,42,M,62248.68,PROF,37,41-45
C326,1,26,M,230058.29,PROF,18,26-30
C327,1,46,M,220934.09,PROF,23,46-50
C328,0,25,M,207973.87,SAL,1,<25
C329,0,25,M,216151.56,PROF,8,<25
C330,0,34,M,104022.5,PROF,36,31-35
C331,0,24,M,584232.19,SAL,27,<25
C332,0,26,M,4755.95,PROF,16,26-30
C333,0,48,M,869611.58,SAL,48,46-50
C334,0,38,M,226789,PROF,36,36-40
C335,0,49,M,967389.12,PROF,15,46-50
C336,0,24,M,226789,PROF,40,<25
C337,0,25,M,486717.55,PROF,13,<25
C338,0,26,M,226135.04,PROF,15,26-30
C339,0,40,M,148816.72,SAL,7,36-40
C340,0,25,M,736101.42,PROF,33,<25
C341,0,51,M,83815.72,PROF,27,>50
C342,0,42,M,48565.28,SAL,8,41-45
C343,0,46,M,157889.92,SAL,45,46-50
C344,0,43,M,32170,SAL,42,41-45
C345,0,26,M,10889.24,SAL,16,26-30
C346,0,50,M,31656.48,SAL,41,46-50
C347,0,31,M,20211.18,SAL,37,31-35
C348,0,44,M,72969.68,SELF-EMP,8,41-45
C349,0,54,M,54833.18,SAL,43,>50
C350,0,29,M,64576.12,SAL,32,26-30
C351,0,41,M,39638.99,SELF-EMP,16,41-45
C352,0,43,M,76223.49,SELF-EMP,37,41-45
C353,0,42,M,93055.07,SELF-EMP,28,41-45
C354,0,53,M,85212.36,SELF-EMP,22,>50
C355,0,42,M,32212.45,SELF-EMP,48,41-45
C356,0,42,M,1416.77,SELF-EMP,42,41-45
C357,1,37,M,3193.83,SELF-EMP,35,36-40
C358,0,41,M,1056.95,SELF-EMP,49,41-45
C359,0,51,M,3242.36,SELF-EMP,0,>50
C360,0,51,M,14156.59,SELF-EMP,43,>50
C361,0,39,M,5375.83,PROF,2,36-40
C362,1,47,F,1182.32,SELF-EMP,19,46-50
C363,1,36,F,5935.06,SELF-EMP,12,36-40
C364,1,43,F,13389.08,SELF-EMP,13,41-45
C365,1,37,F,5588.28,SELF-EMP,38,36-40
C366,1,47,F,7026.9,SELF-EMP,27,46-50
C367,0,54,M,13340.27,SELF-EMP,12,>50
C368,0,46,M,5060.06,SELF-EMP,35,46-50
C369,0,53,M,3001.23,SELF-EMP,21,>50
C370,0,35,M,874.62,SELF-EMP,22,31-35
C371,0,53,M,8748.64,SELF-EMP,3,>50
C372,0,36,M,8435.94,SELF-EMP,20,36-40
C373,0,45,M,6088.17,SELF-EMP,33,41-45
C374,0,50,M,178674.59,SELF-EMP,26,46-50
C375,0,36,M,7102.01,PROF,33,36-40
C376,0,55,M,1965.25,SELF-EMP,1,>50
C377,0,45,M,5238.15,SELF-EMP,22,41-45
C378,0,51,M,346418.51,SAL,39,>50
C379,0,48,M,74984.51,SELF-EMP,45,46-50
C380,1,44,M,32498.49,SELF-EMP,16,41-45
C381,0,41,M,37083.3,SELF-EMP,9,41-45
C382,0,47,M,11576.42,SELF-EMP,37,46-50
C383,0,41,M,1959.19,SELF-EMP,10,41-45
C384,0,28,M,22972.64,SELF-EMP,2,26-30
C385,0,49,M,4461.53,SELF-EMP,25,46-50
C386,0,30,M,3800.64,SELF-EMP,2,26-30
C387,0,32,M,93217.74,SELF-EMP,28,31-35
C388,0,35,M,495989.12,SAL,22,31-35
C389,0,23,M,649066.6,PROF,19,<25
C390,1,41,M,14302.55,PROF,18,41-45
C391,0,44,M,7606.13,SAL,14,41-45
C392,0,22,M,593147.47,SAL,23,<25
C393,0,28,M,13617.84,SAL,46,26-30
C394,0,23,M,25553.6,SELF-EMP,21,<25
C395,0,43,M,696414.21,SAL,50,41-45
C396,0,35,M,4263.17,SAL,49,31-35
C397,1,45,M,9993.55,PROF,10,41-45
C398,0,28,M,44468.81,SELF-EMP,11,26-30
C399,0,39,M,1532.76,PROF,17,36-40
C400,0,44,M,4137.54,PROF,37,41-45
C401,0,51,M,20078.89,PROF,1,>50
C402,0,46,M,56027.2,SAL,4,46-50
C403,1,22,M,6593.97,SELF-EMP,2,<25
C404,1,39,M,232184.16,SELF-EMP,13,36-40
C405,1,46,M,32381.56,SELF-EMP,21,46-50
C406,1,44,M,32362.25,SELF-EMP,8,41-45
C407,0,44,M,232867.2,SAL,2,41-45
C408,0,43,M,8569.86,SAL,21,41-45
C409,0,52,M,29164.43,SAL,45,>50
C410,0,23,M,2340.57,SAL,28,<25
C411,0,42,M,303205.19,SAL,2,41-45
C412,0,54,M,175795.9,SELF-EMP,36,>50
C413,0,30,M,22554.63,PROF,1,26-30
C414,0,55,M,11511.47,SAL,35,>50
C415,0,42,M,20179.21,SAL,50,41-45
C416,0,47,M,7770.75,SAL,9,46-50
C417,1,46,M,1120.03,SELF-EMP,18,46-50
C418,0,42,M,135739.74,SAL,46,41-45
C419,1,32,M,9934.34,SELF-EMP,19,31-35
C420,0,30,M,5026.88,SAL,7,26-30
C421,0,27,M,6361.43,SAL,17,26-30
C422,0,25,M,83964.83,SAL,12,<25
C423,0,25,M,4480.59,SAL,46,<25
C424,0,41,M,76184.75,SAL,39,41-45
C425,0,41,M,1199.35,SELF-EMP,36,41-45
C426,1,41,M,867.54,PROF,17,41-45
C427,0,54,M,515.47,SAL,42,>50
C428,0,48,M,73228.23,SAL,43,46-50
C429,0,55,M,17927.76,SAL,50,>50
C430,0,41,M,3719.09,SAL,50,41-45
C431,0,36,M,1306.91,SAL,17,36-40
C432,0,26,M,450.2,SAL,43,26-30
C433,0,37,M,64331.68,SAL,11,36-40
C434,0,45,M,169578.63,SAL,14,41-45
C435,0,26,M,742337.3,SAL,44,26-30
C436,1,27,M,35439.09,SELF-EMP,11,26-30
C437,0,25,M,9309.51,SAL,29,<25
C438,0,30,M,5026.64,SAL,48,26-30
C439,0,48,M,4751.54,SAL,25,46-50
C440,0,28,M,803.43,SAL,49,26-30
C441,0,27,M,260.75,SAL,26,26-30
C442,0,24,M,98616.93,SAL,2,<25
C443,1,41,M,107276.22,PROF,14,41-45
C444,1,36,M,23890.06,SELF-EMP,35,36-40
C445,1,33,M,8233.01,SELF-EMP,15,31-35
C446,0,38,M,3663.66,SAL,30,36-40
C447,0,47,M,2715.25,SAL,32,46-50
C448,0,44,M,26811.88,PROF,7,41-45
C449,0,32,M,4154.73,SAL,50,31-35
C450,0,25,M,3237.44,SELF-EMP,4,<25
C451,0,28,M,1496.19,SELF-EMP,50,26-30
C452,0,31,M,5030.24,SAL,12,31-35
C453,1,42,M,10194.81,SELF-EMP,18,41-45
C454,0,29,M,2492.38,SELF-EMP,8,26-30
C455,0,39,M,11675.68,SAL,2,36-40
C456,0,32,M,7708.1,SAL,24,31-35
C457,0,27,M,78544.66,SELF-EMP,4,26-30
C458,0,27,M,332256.5,SAL,6,26-30
C459,0,32,M,70655.53,PROF,33,31-35
C460,0,53,M,10930.45,SAL,34,>50
C461,0,52,M,5383.42,SAL,11,>50
C462,0,43,M,208758.88,SELF-EMP,38,41-45
C463,0,41,M,228525.66,SAL,2,41-45
C464,0,49,M,5037.47,PROF,10,46-50
C465,0,49,M,30222.18,SAL,45,46-50
C466,0,37,M,1216.41,SAL,2,36-40
C467,0,53,M,418.99,SAL,9,>50
C468,0,52,M,4207.22,SELF-EMP,25,>50
C469,0,38,M,2369.83,SAL,35,36-40
C470,0,33,M,2466.06,SAL,37,31-35
C471,0,54,M,3370.14,PROF,15,>50
C472,0,42,M,1734.22,PROF,6,41-45
C473,0,53,M,8235.06,SAL,26,>50
C474,0,28,M,3717.52,SAL,3,26-30
C475,1,44,M,100025.37,SELF-EMP,9,41-45
C476,0,39,M,3829.66,SELF-EMP,6,36-40
C477,0,41,M,4831.06,SAL,17,41-45
C478,0,43,M,1341.1,SELF-EMP,17,41-45
C479,0,44,M,937.11,SAL,39,41-45
C480,0,51,M,10045.24,SAL,39,>50
C481,1,35,M,23524.52,PROF,37,31-35
C482,1,54,M,12740.89,SELF-EMP,8,>50
C483,1,43,M,5524.84,SELF-EMP,23,41-45
C484,1,44,M,10791.71,SELF-EMP,17,41-45
C485,0,53,M,24879.9,SAL,48,>50
C486,0,34,M,10641.47,SAL,8,31-35
C487,0,54,M,39999.82,SAL,21,>50
C488,0,40,M,30692.94,SAL,8,36-40
C489,0,28,M,19149.32,SAL,45,26-30
C490,0,42,M,2807.97,SAL,34,41-45
C491,0,47,M,6373.16,SAL,49,46-50
C492,0,28,M,3151.32,SAL,16,26-30
C493,0,55,M,1348.91,SAL,34,>50
C494,0,42,M,4580.6,SAL,24,41-45
C495,0,46,M,9674.72,SAL,6,46-50
C496,0,54,M,2232.53,SAL,33,>50
C497,0,41,M,2650.65,SAL,31,41-45
C498,0,49,M,11569.61,SAL,6,46-50
C499,0,43,M,8052.34,SAL,45,41-45
C500,0,50,M,7523.88,SAL,42,46-50
C501,0,37,M,3307.97,PROF,28,36-40
C502,0,38,M,522.62,SAL,46,36-40
C503,1,38,M,1569.9,SELF-EMP,19,36-40
C504,0,55,M,811.59,PROF,30,>50
C505,0,29,M,24393.36,SAL,31,26-30
C506,0,46,M,4418.08,SAL,18,46-50
C507,0,38,M,20704.61,SAL,41,36-40
C508,0,51,M,40040.86,SELF-EMP,28,>50
C509,0,25,M,4195.73,SAL,23,<25
C510,0,25,M,664452,SAL,44,<25
C511,0,39,M,1544.72,SAL,12,36-40
C512,0,31,M,71384.7,SAL,40,31-35
C513,0,55,M,7156.62,PROF,5,>50
C514,0,52,M,2623.58,SAL,9,>50
C515,1,41,M,5455.71,SELF-EMP,15,41-45
C516,0,53,M,6971.03,PROF,29,>50
C517,0,54,M,1225.51,SAL,46,>50
C518,0,41,M,9472.03,SAL,10,41-45
C519,0,40,M,5891.63,PROF,6,36-40
C520,0,41,M,291.76,PROF,15,41-45
C521,1,39,M,34177.3,SELF-EMP,13,36-40
C522,1,30,M,57569.66,,8,26-30
C523,1,38,M,14419.75,,20,36-40
C524,1,43,M,3844.5,,38,41-45
C525,0,34,M,6554.65,SAL,14,31-35
C526,0,43,M,6261.98,SAL,29,41-45
C527,0,36,M,5527.86,PROF,1,36-40
C528,0,54,M,15578.44,PROF,0,>50
C529,0,41,M,5424.36,PROF,9,41-45
C530,0,36,M,8716.29,SELF-EMP,35,36-40
C531,0,50,M,1967.74,SAL,36,46-50
C532,0,28,M,2793.3,SAL,19,26-30
C533,0,25,M,204228.32,SAL,39,<25
C534,0,25,M,119885.76,PROF,11,<25
C535,0,53,M,5392.73,SELF-EMP,7,>50
C536,0,49,M,2687.17,PROF,4,46-50
C537,0,47,M,8984.31,SAL,15,46-50
C538,0,41,M,7026.4,SAL,6,41-45
C539,0,30,M,116887.5,SAL,24,26-30
C540,0,52,M,7661.55,SAL,41,>50
C541,0,42,M,28996.04,PROF,25,41-45
C542,0,39,M,8708.64,SAL,13,36-40
C543,0,26,M,2671.58,PROF,2,26-30
C544,0,38,M,0,SELF-EMP,13,36-40
C545,0,40,M,5594.29,SAL,22,36-40
C546,0,51,M,4906.58,SAL,22,>50
C547,0,48,M,8645.55,SAL,0,46-50
C548,0,47,M,12765.45,SAL,50,46-50
C549,0,42,M,2351.56,SELF-EMP,29,41-45
C550,0,46,M,10748.59,SAL,45,46-50
C551,0,52,M,5033.61,SAL,2,>50
C552,0,35,M,5201.09,PROF,3,31-35
C553,0,44,M,121.44,SAL,41,41-45
C554,0,41,M,6409.92,SAL,29,41-45
C555,1,41,M,16436.1,PROF,14,41-45
C556,0,51,M,16959.52,PROF,25,>50
C557,0,31,M,2168.07,SELF-EMP,26,31-35
C558,0,45,M,3807.8,SELF-EMP,26,41-45
C559,0,52,M,448.25,SAL,50,>50
C560,0,21,M,87586.26,SAL,43,<25
C561,1,37,M,3813.85,SELF-EMP,14,36-40
C562,1,42,M,9624.26,SELF-EMP,22,41-45
C563,1,41,M,1430.53,SELF-EMP,15,41-45
C564,1,36,M,13058.8,SELF-EMP,18,36-40
C565,0,48,M,11770.31,PROF,13,46-50
C566,0,54,M,8654.02,SAL,21,>50
C567,0,33,M,4019.2,SAL,25,31-35
C568,1,43,M,12301.33,SELF-EMP,20,41-45
C569,0,47,M,21094.92,SELF-EMP,47,46-50
