,Unnamed: 0,Unnamed: 0.1,author,publicationTime,bodyText,Clean_Data,Clean,Clean1
12,12,12,id:twitter.com:936377724,2016-10-02,RT @micksfoley: Govt's done a big #coal &amp; #CSG cleanup but will it tackle the biggest mess? https://t.co/HWXlcTR3ZJ #nswpol #shenhua https:?,RT @micksfoley: Govt's done a big #coal &amp; #CSG cleanup but will it tackle the biggest mess?  #nswpol #shenhua ,: Govt's done a big &amp; cleanup but will it tackle the biggest mess?, Govt's done a big  cleanup but will it tackle the biggest mess?
13,13,13,id:twitter.com:2900078245,2016-10-02,Possible Aus #LNG to India for #electricity via #coal.Moving with times - 2012 to now.@DrCraigEmerson @PiyushGoyal https://t.co/FdYSDpg15B,Possible Aus #LNG to India for #electricity via #coal.Moving with times - 2012 to now.@DrCraigEmerson @PiyushGoyal ,Possible Aus to India for via .Moving with times - to now.,Possible Aus to India for via .Moving with times - to now.
14,14,14,id:twitter.com:2897999540,2016-10-02,Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.co/otDrTnXXjk,Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,Australia's landholders are up in arms everywhere over inappropriate mining,Australia's landholders are up in arms everywhere over inappropriate mining
15,15,15,id:twitter.com:2611093651,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
16,16,16,id:twitter.com:397811354,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
17,17,17,id:twitter.com:1461031969,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
18,18,18,id:twitter.com:54786969,2016-10-02,Mining Weekly: #India?s #coal appetite dwindles https://t.co/or2BaZCsZL #qldpol #auspol,Mining Weekly: #India?s #coal appetite dwindles  #qldpol #auspol,Mining Weekly: ?s appetite dwindles,Mining Weekly: ?s appetite dwindles
19,19,19,id:twitter.com:1889143957,2016-10-02,"When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got?
#auspol
https://t.co/yUg70OAc2W https://t.co/yaZnGT56nt","When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got?
#auspol
 ",When PM &amp; incoming Deputy oppose mine on :What chance has it got?,When PM  incoming Deputy oppose mine on :What chance has it got?
20,20,20,id:twitter.com:192113919,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
21,21,21,id:twitter.com:1889143957,2016-10-02,When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol https://t.co/yUg70OAc2W https://t.co/O6ocmFpLKN,When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol  ,When PM &amp; incoming Deputy oppose mine on :What chance has it got?,When PM  incoming Deputy oppose mine on :What chance has it got?
22,22,22,id:twitter.com:288010117,2016-10-02,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol https://t.co/yUg70OAc2W https?,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol  ,: When PM &amp; incoming Deputy oppose mine on :What chance has it got?, When PM  incoming Deputy oppose mine on :What chance has it got?
23,23,23,id:twitter.com:491936327,2016-10-02,RT @PlattsCoal: Lender group offers $500 million bid for #coal producer Alpha Natural Resources' core assets. Details in story: https://t.c?,RT @PlattsCoal: Lender group offers $500 million bid for #coal producer Alpha Natural Resources' core assets. Details in story: ,: Lender group offers $500 million bid for producer Alpha Natural Resources' core assets. Details in story:, Lender group offers $500 million bid for producer Alpha Natural Resources' core assets. Details in story:
24,24,24,id:twitter.com:54786969,2016-10-02,"Anon snr official @ #India's biggest power co NTPC ""no new [#coal] plant are scheduled to come on stream in 2016? https://t.co/or2BaZCsZL","Anon snr official @ #India's biggest power co NTPC ""no new [#coal] plant are scheduled to come on stream in 2016? ","Anon snr official 's biggest power co NTPC ""no new [] plant are scheduled to come on stream in ?","Anon snr official  is biggest power co NTPC ""no new [] plant are scheduled to come on stream in "
25,25,25,id:twitter.com:1870634371,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
26,26,26,id:twitter.com:2421394298,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
27,27,27,id:twitter.com:1320230766,2016-10-02,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope https://t.?,RT @AustralisTerry: Australia's landholders are up in arms everywhere over inappropriate mining #Auspol #shenhua #Adani #newhope ,: Australia's landholders are up in arms everywhere over inappropriate mining, Australia's landholders are up in arms everywhere over inappropriate mining
28,28,28,id:twitter.com:587255442,2016-10-02,URGENT PETITION calling on the @NHMRC to study the health impacts of dangerous #csg #auspol  https://t.co/L3AO6s64IX https://t.co/EfRqxNUKi3,URGENT PETITION calling on the @NHMRC to study the health impacts of dangerous #csg #auspol   ,URGENT PETITION calling on the to study the health impacts of dangerous,URGENT PETITION calling on the to study the health impacts of dangerous
29,29,29,id:twitter.com:2897999540,2016-10-02,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol https://t.co/yUg70OAc2W https?,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol  ,: When PM &amp; incoming Deputy oppose mine on :What chance has it got?, When PM  incoming Deputy oppose mine on :What chance has it got?
30,30,30,id:twitter.com:1255449030,2016-10-02,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports https://t.co/yKNeoICRdI #csgo #btc https://t.co/8w5oHwNiD0,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports  #csgo #btc ,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports
31,31,31,id:twitter.com:1255449030,2016-10-02,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports https://t.co/fDxWYTylbV #csgo #btc https://t.co/Tk2eBtYw7J,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports  #csgo #btc ,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports,Counter-Strike: Global Offensive eSports Wagering at Betcoin Sports
32,32,32,id:twitter.com:3051674485,2016-10-02,@GetUp @1millionwomen gotta be some of kind of prank? he can only get accolades for wrecking the #environment &amp; allowing more #coal mines,@GetUp @1millionwomen gotta be some of kind of prank? he can only get accolades for wrecking the #environment &amp; allowing more #coal mines,gotta be some of kind of prank? he can only get accolades for wrecking the &amp; allowing more mines,gotta be some of kind of prank? he can only get accolades for wrecking the  allowing more mines
33,33,33,id:twitter.com:7901142,2016-10-02,"Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM  https://t.co/WZRq1aHHK4 #coal #csg #nswpol","Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM   #coal #csg #nswpol","Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM","Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM"
34,34,34,id:twitter.com:3242963281,2016-10-02,"RT @maxphillips: Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM  https://t.co/WZRq1aHHK4 #coal?","RT @maxphillips: Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM   #coal?",": Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM ?"," Media: Greens welcome AGL?s renewables fund, call for more action to hasten coal out of NEM "
35,35,35,id:twitter.com:40416828,2016-10-02,"RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
https://t.co/KO1rp5LlQs https://t.co/iKRHZphy7Q","RT @350Australia: Adani Group's Aust #coal mining troubles far from over. 
 ",: Adani Group's Aust mining troubles far from over., Adani Group's Aust mining troubles far from over.
36,36,36,id:twitter.com:2584644984,2016-10-02,Counter-Strike: Global Offensive Case Opening in Super Mario Land. https://t.co/4H404ii7U9 via @YouTube #csgo #supermariobros #caseopening,Counter-Strike: Global Offensive Case Opening in Super Mario Land.  via @YouTube #csgo #supermariobros #caseopening,Counter-Strike: Global Offensive Case Opening in Super Mario Land. via,Counter-Strike: Global Offensive Case Opening in Super Mario Land. via
37,37,37,id:twitter.com:225208915,2016-10-02,.When will shareholders take #csg &amp; #coal miners to task over policy of trying to strongarm opponents? Stock plummet = fiduciary duty issues,.When will shareholders take #csg &amp; #coal miners to task over policy of trying to strongarm opponents? Stock plummet = fiduciary duty issues,.When will shareholders take &amp; miners to task over policy of trying to strongarm opponents? Stock plummet = fiduciary duty issues,.When will shareholders take  miners to task over policy of trying to strongarm opponents? Stock plummet = fiduciary duty issues
38,38,38,id:twitter.com:168442224,2016-10-02,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels https://t.co/BteCpSXD3v #investment #coal https?,RT @market_forces: Funds have burned billions of dollars of our super on dirty #fossilfuels  #investment #coal ,: Funds have burned billions of dollars of our super on dirty, Funds have burned billions of dollars of our super on dirty
39,39,39,id:twitter.com:18710072,2016-10-02,RT @maxphillips: Whitehaven can't combat falling demand for coal: Macquarie -  https://t.co/HOFW5Q8EqC via @smh #coal #nswpol,RT @maxphillips: Whitehaven can't combat falling demand for coal: Macquarie -   via @smh #coal #nswpol,: Whitehaven can't combat falling demand for coal: Macquarie - via, Whitehaven can't combat falling demand for coal: Macquarie - via
40,40,40,id:twitter.com:3891145174,2016-10-02,"[liberal judges dissent] ""Supreme Court Deals Blow to Obama?s Efforts to Regulate Coal Emissions"" https://t.co/8JLF3xy6bP #coal","[liberal judges dissent] ""Supreme Court Deals Blow to Obama?s Efforts to Regulate Coal Emissions""  #coal","[liberal judges dissent] ""Supreme Court Deals Blow to Obama?s Efforts to Regulate Coal Emissions""","[liberal judges dissent] ""Supreme Court Deals Blow to Obama?s Efforts to Regulate Coal Emissions"""
41,41,41,id:twitter.com:18710072,2016-10-02,"RT @AustralisTerry: ""We have never seen any mining project galvanise public opposition like #Shenhua"" #auspol #nswpol @mikebairdMP #coal ht?","RT @AustralisTerry: ""We have never seen any mining project galvanise public opposition like #Shenhua"" #auspol #nswpol @mikebairdMP #coal ht?",": ""We have never seen any mining project galvanise public opposition like "" ht?"," ""We have never seen any mining project galvanise public opposition like  ht?"
42,42,42,id:twitter.com:18710072,2016-10-02,"RT @Phil_Laird1: https://t.co/tueCaclY5z
@dailytelegraph #csg #auspol #nswpol #sprinst #politas #wapol #saparli #ntpol #qldpol #agchatoz @n?","RT @Phil_Laird1: 
@dailytelegraph #csg #auspol #nswpol #sprinst #politas #wapol #saparli #ntpol #qldpol #agchatoz @n?",: ?, 
43,43,43,id:twitter.com:3114672872,2016-10-02,"RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol https://t?","RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol ",": ?It is my duty to do whatever I can to protect Australia for future generation"""," ?It is my duty to do whatever I can to protect Australia for future generation"""
44,44,44,id:twitter.com:3310347050,2016-10-02,"""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t.co/8NhPoicCsm","""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ","""No amount of conditions placed on this can disguise what is a disastrous decision""","""No amount of conditions placed on this can disguise what is a disastrous decision"""
45,45,45,id:twitter.com:2197000904,2016-10-02,"RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol https://t?","RT @adropex: ?It is my duty to do whatever I can to protect Australia for future generation"" #ClimateAngels #csg #Pilliga #auspol ",": ?It is my duty to do whatever I can to protect Australia for future generation"""," ?It is my duty to do whatever I can to protect Australia for future generation"""
46,46,46,id:twitter.com:1859586222,2016-10-02,"RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t?","RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ",": ""No amount of conditions placed on this can disguise what is a disastrous decision"""," ""No amount of conditions placed on this can disguise what is a disastrous decision"""
47,47,47,id:twitter.com:7901142,2016-10-02,Where climate guardian angels (didn?t) fear to tread https://t.co/szSQsGsoCw via @The_NDL #csg #nswpol,Where climate guardian angels (didn?t) fear to tread  via @The_NDL #csg #nswpol,Where climate guardian angels (didn?t) fear to tread via,Where climate guardian angels (didn?t) fear to tread via
48,48,48,id:twitter.com:2515076245,2016-10-02,"RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t?","RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ",": ""No amount of conditions placed on this can disguise what is a disastrous decision"""," ""No amount of conditions placed on this can disguise what is a disastrous decision"""
49,49,49,id:twitter.com:288010117,2016-10-02,RT @maxphillips: Where climate guardian angels (didn?t) fear to tread https://t.co/szSQsGsoCw via @The_NDL #csg #nswpol,RT @maxphillips: Where climate guardian angels (didn?t) fear to tread  via @The_NDL #csg #nswpol,: Where climate guardian angels (didn?t) fear to tread via, Where climate guardian angels (didn?t) fear to tread via
50,50,50,id:twitter.com:3310347050,2016-10-02,"""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor https://t.co/p3QDeKCCmt","""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor ","""Not that I'm aware of.."" said today on rumours","""Not that I'm aware of.."" said today on rumours"
51,51,51,id:twitter.com:80529594,2016-10-02,"RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor https?","RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor ",": ""Not that I'm aware of.."" said today on rumours"," ""Not that I'm aware of.."" said today on rumours"
52,52,52,id:twitter.com:80529594,2016-10-02,"RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t?","RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ",": ""No amount of conditions placed on this can disguise what is a disastrous decision"""," ""No amount of conditions placed on this can disguise what is a disastrous decision"""
53,53,53,id:twitter.com:1427060006,2016-10-02,"New research: ""Air pollution kills people. Still."" This is why we need to deal with sources of pollution. #coal https://t.co/hRsXHrUgTI","New research: ""Air pollution kills people. Still."" This is why we need to deal with sources of pollution. #coal ","New research: ""Air pollution kills people. Still."" This is why we need to deal with sources of pollution.","New research: ""Air pollution kills people. Still."" This is why we need to deal with sources of pollution."
54,54,54,id:twitter.com:1426865454,2016-10-02,"RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor https?","RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor ",": ""Not that I'm aware of.."" said today on rumours"," ""Not that I'm aware of.."" said today on rumours"
55,55,55,id:twitter.com:122928061,2016-10-02,About time. #foodnotcoal #coalcorruption https://t.co/eHRilzuOnY,About time. #foodnotcoal #coalcorruption ,About time.,About time.
56,56,56,id:twitter.com:2930462131,2016-10-02,URGENT PETITION calling on the @NHMRC to study the health impacts of dangerous #csg #auspol  https://t.co/GzkufegTIN https://t.co/S8ixoRTJqL,URGENT PETITION calling on the @NHMRC to study the health impacts of dangerous #csg #auspol   ,URGENT PETITION calling on the to study the health impacts of dangerous,URGENT PETITION calling on the to study the health impacts of dangerous
57,57,57,id:twitter.com:3008361326,2016-10-02,"RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp https://t?","RT @StopShenhua: ""No amount of conditions placed on this can disguise what is a disastrous decision"" #shenhua #auspol @greghuntmp ",": ""No amount of conditions placed on this can disguise what is a disastrous decision"""," ""No amount of conditions placed on this can disguise what is a disastrous decision"""
58,58,58,id:twitter.com:1132832803,2016-10-02,"RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor https?","RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor ",": ""Not that I'm aware of.."" said today on rumours"," ""Not that I'm aware of.."" said today on rumours"
59,59,59,id:twitter.com:399182898,2016-10-02,Aspiring #coal magnate Nathan Tinkler facing bankruptcy over $2.8 million debt https://t.co/oyEqv6oCbx #resources https://t.co/y3WDnRsCp1,Aspiring #coal magnate Nathan Tinkler facing bankruptcy over $2.8 million debt  #resources ,Aspiring magnate Nathan Tinkler facing bankruptcy over $2.8 million debt,Aspiring magnate Nathan Tinkler facing bankruptcy over $2.8 million debt
60,60,60,id:twitter.com:476565539,2016-10-02,"RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor https?","RT @StopShenhua: ""Not that I'm aware of.."" said @mikebairdmp today on #shenhua #liverpoolplains rumours #auspol #nswpol @TonyHWindsor ",": ""Not that I'm aware of.."" said today on rumours"," ""Not that I'm aware of.."" said today on rumours"
61,61,61,id:twitter.com:4207356567,2016-10-02,How can we warm you up... With #coal or #wood? Indoors or outdoors? Click here - https://t.co/ZwPgdYZ63D #Fireplaces https://t.co/CuCGGcX93F,How can we warm you up... With #coal or #wood? Indoors or outdoors? Click here -  #Fireplaces ,How can we warm you up... With or ? Indoors or outdoors? Click here -,How can we warm you up... With or  Indoors or outdoors? Click here -
62,62,62,id:twitter.com:1114112454,2016-10-02,"RT @CSGOFast_com: This Blaze is really hot !
Participate here - https://t.co/FQvNZmGFR5 
#csgofast #giveaway #easyskins #easymoney https://?","RT @CSGOFast_com: This Blaze is really hot !
Participate here -  
#csgofast #giveaway #easyskins #easymoney ",: This Blaze is really hot ! Participate here -, This Blaze is really hot ! Participate here -
63,63,63,id:twitter.com:18710072,2016-10-02,"RT @LockTheGate: Whoa! @OriginEnergy reneges on paying Royalties, claims breach of natural justice!
#qldpol #csg #asx #auspol #nswpol
https?","RT @LockTheGate: Whoa! @OriginEnergy reneges on paying Royalties, claims breach of natural justice!
#qldpol #csg #asx #auspol #nswpol
",": Whoa! reneges on paying Royalties, claims breach of natural justice!"," Whoa! reneges on paying Royalties, claims breach of natural justice!"
64,64,64,id:twitter.com:2209799083,2016-10-02,RT @AusConservation: Qld mining lobby concedes the age of #coal is over: https://t.co/QgzfO4QUeE #Carmichael #qldpol #auspol @KellyOShanassy,RT @AusConservation: Qld mining lobby concedes the age of #coal is over:  #Carmichael #qldpol #auspol @KellyOShanassy,: Qld mining lobby concedes the age of is over:, Qld mining lobby concedes the age of is over:
65,65,65,id:twitter.com:54786969,2016-10-02,"Tree Alert: #Japan green lights new, soon to be stranded, #coal assets https://t.co/jZ3OYipeKS","Tree Alert: #Japan green lights new, soon to be stranded, #coal assets ","Tree Alert: green lights new, soon to be stranded, assets","Tree Alert: green lights new, soon to be stranded, assets"
66,66,66,id:twitter.com:2209799083,2016-10-02,RT @JoshMeadows3: Queensland mining industry wants taxpayers to pay to keep #coal jobs. Unbelievable. @QRCouncil https://t.co/XfzgeHJUu5 #q?,RT @JoshMeadows3: Queensland mining industry wants taxpayers to pay to keep #coal jobs. Unbelievable. @QRCouncil  #q?,: Queensland mining industry wants taayers to pay to keep jobs. Unbelievable. ?, Queensland mining industry wants taayers to pay to keep jobs. Unbelievable. 
67,67,67,id:twitter.com:58352165,2016-10-02,"Shite #coal co's say - ?Imagine  trying to keep yr head above  water...????
 Gr8 piece by TAI's Rod Campbell 
https://t.co/gPQ0OcBDwh","Shite #coal co's say - ?Imagine  trying to keep yr head above  water...????
 Gr8 piece by TAI's Rod Campbell 
",Shite co's say - ?Imagine trying to keep yr head above water...???? Gr8 piece by TAI's Rod Campbell,Shite co's say - ?Imagine trying to keep yr head above water...???? Gr8 piece by TAI's Rod Campbell
68,68,68,id:twitter.com:2200544154,2016-10-02,"RT @PilligaPush: Peaceful blockade of access 2 Santos #Leewood #csg
#PilligaPush listen up @GregHuntMP , don't be a fossil fool https://t.c?","RT @PilligaPush: Peaceful blockade of access 2 Santos #Leewood #csg
#PilligaPush listen up @GregHuntMP , don't be a fossil fool ",": Peaceful blockade of access Santos listen up , don't be a fossil fool"," Peaceful blockade of access Santos listen up , don't be a fossil fool"
69,69,69,id:twitter.com:1093298252,2016-10-02,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol https://t.co/yUg70OAc2W https?,RT @Phil_Laird1: When PM &amp; incoming Deputy oppose #Shenhua #coal mine on #LPP:What chance has it got? #auspol  ,: When PM &amp; incoming Deputy oppose mine on :What chance has it got?, When PM  incoming Deputy oppose mine on :What chance has it got?
70,70,70,id:twitter.com:4335408141,2016-10-02,RT @bruneski: Supreme Court stay of Clean Power Plan won't delay our country's accelerating transition from dirty #coal to clean energy.,RT @bruneski: Supreme Court stay of Clean Power Plan won't delay our country's accelerating transition from dirty #coal to clean energy.,: Supreme Court stay of Clean Power Plan won't delay our country's accelerating transition from dirty to clean energy., Supreme Court stay of Clean Power Plan won't delay our country's accelerating transition from dirty to clean energy.
