"Cust_ID","Target","Age","Gender","Balance","Occupation","No_OF_CR_TXNS","AGE_BKT","SCR","Holding_Period"
"C10229",0,23,"M",245500,"SELF-EMP",3,"<25",342,23
"C1023",0,37,"M",33815.49,"SELF-EMP",42,"36-40",494,24
"C10230",0,28,"M",26368.64,"SELF-EMP",48,"26-30",161,0
"C10231",0,25,"M",234687.26,"SELF-EMP",2,"<25",755,9
"C10232",0,32,"M",249809.73,"SELF-EMP",35,"31-35",968,10
"C10233",0,29,"M",127750.71,"SAL",31,"26-30",643,29
"C10234",0,31,"M",10188.44,"SAL",18,"31-35",524,1
"C10235",0,45,"M",111408.24,"SAL",43,"41-45",346,10
"C10236",0,28,"M",249809.73,"SAL",18,"26-30",139,15
"C10237",0,31,"M",112516.84,"SAL",25,"31-35",851,7
"C10238",1,25,"M",74105.46,"SELF-EMP",48,"<25",494,3
"C10239",0,36,"M",249809.73,"SAL",35,"36-40",409,21
"C1024",0,39,"M",26949.26,"PROF",40,"36-40",681,16
"C10240",0,46,"M",926777.04,"PROF",7,"46-50",619,25
"C10241",0,23,"M",532215.84,"SAL",37,"<25",233,12
"C10242",0,41,"M",249809.73,"SAL",29,"41-45",874,0
"C10243",0,24,"M",245500,"SAL",39,"<25",261,2
"C10244",0,35,"M",730461.68,"SAL",1,"31-35",122,10
"C10245",1,27,"F",249809.73,"SAL",18,"26-30",686,1
"C10246",1,25,"F",54448.46,"SELF-EMP",32,"<25",349,2
"C10247",1,26,"F",29255.92,"SAL",46,"26-30",860,29
"C10248",0,55,"M",48845.48,"SAL",7,">50",583,1
"C10249",0,25,"M",755647.81,"SELF-EMP",2,"<25",891,7
"C1025",0,52,"M",7659.96,"PROF",43,">50",114,20
"C10250",0,46,"F",685014.12,"SAL",27,"46-50",966,24
"C10251",0,46,"F",773059.09,"SELF-EMP",23,"46-50",863,28
"C10252",0,45,"F",586764.26,"PROF",28,"41-45",448,11
"C10253",0,25,"F",40728.97,"SELF-EMP",29,"<25",137,30
"C10254",0,26,"F",722925.48,"SAL",45,"26-30",268,23
"C10255",0,39,"F",249809.73,"PROF",9,"36-40",816,30
"C10256",0,24,"F",552781.87,"SAL",7,"<25",807,16
"C10257",0,33,"F",525905.49,"SAL",10,"31-35",288,14
"C10258",0,33,"F",96428.23,"SAL",41,"31-35",513,7
"C10259",0,26,"F",753374.92,"SELF-EMP",23,"26-30",469,15
"C1026",0,25,"M",18122.33,"SAL",26,"<25",626,25
"C10260",0,28,"F",249809.73,"SAL",22,"26-30",741,18
"C10261",0,27,"O",111544.52,"PROF",20,"26-30",382,30
"C10262",0,27,"O",134243.57,"SAL",39,"26-30",155,23
"C10263",0,27,"O",50500.59,"SAL",7,"26-30",506,24
"C10264",0,23,"O",141861.04,"SELF-EMP",2,"<25",162,14
"C10265",0,47,"O",22411.11,"SAL",22,"46-50",692,29
"C10266",0,47,"O",935442.01,"SAL",15,"46-50",159,9
"C10267",0,21,"O",43859.21,"SAL",6,"<25",481,17
"C10268",0,27,"O",660337.7,"PROF",34,"26-30",192,20
"C10269",0,28,"O",686659.36,"SELF-EMP",33,"26-30",985,13
"C1027",0,30,"M",13602.39,"PROF",8,"26-30",650,3
"C10270",0,27,"O",644712.72,"SAL",36,"26-30",516,12
"C10271",0,30,"O",249809.73,"SAL",48,"26-30",359,5
"C10272",0,23,"O",249809.73,"SAL",41,"<25",553,29
"C10273",0,23,"M",149655.79,"SAL",32,"<25",515,3
"C10274",0,23,"M",19405.53,"SELF-EMP",15,"<25",458,26
"C10275",0,25,"M",799302.81,"SAL",46,"<25",287,27
"C10276",0,26,"M",3282.89,"SELF-EMP",5,"26-30",487,29
"C10277",0,24,"M",245500,"SAL",7,"<25",921,14
"C10278",1,23,"M",338539.09,"SELF-EMP",4,"<25",801,3
"C10279",0,27,"M",245500,"SAL",3,"26-30",451,8
"C1028",0,51,"M",3302.22,"SELF-EMP",18,">50",328,26
"C10280",0,26,"M",0,"SELF-EMP",13,"26-30",901,10
"C10281",0,22,"M",59406,"SELF-EMP",48,"<25",982,20
"C10282",0,22,"M",245500,"SAL",9,"<25",430,1
"C10283",0,45,"M",72488.96,"SAL",21,"41-45",551,25
"C10284",1,35,"M",430471.53,"SELF-EMP",5,"31-35",801,6
"C10285",1,32,"M",113619.1,"SELF-EMP",8,"31-35",801,17
"C10286",1,41,"M",167437.67,"SELF-EMP",36,"41-45",997,20
"C10287",1,36,"M",153137.31,"SELF-EMP",9,"36-40",589,31
"C10288",0,35,"M",243751.61,"SAL",36,"31-35",772,9
"C10289",0,38,"M",32592.23,"SAL",43,"36-40",641,10
"C1029",1,51,"M",49420.08,"PROF",15,">50",809,1
"C10290",0,28,"M",232599.32,"SAL",32,"26-30",272,30
"C10291",0,22,"M",245500,"PROF",24,"<25",706,3
"C10292",0,33,"M",245500,"PROF",40,"31-35",699,19
"C10293",0,31,"M",245500,"PROF",35,"31-35",188,31
"C10294",0,31,"M",245500,"PROF",32,"31-35",975,16
"C10295",0,31,"M",245500,"PROF",49,"31-35",753,26
"C10296",0,46,"M",147057.66,"PROF",17,"46-50",891,19
"C10297",0,30,"M",832435.72,"PROF",49,"26-30",705,9
"C10298",0,26,"M",552629.98,"SAL",23,"26-30",583,23
"C10299",0,40,"M",734084.94,"SAL",9,"36-40",148,15
"C103",0,40,"F",212089.48,"PROF",50,"36-40",775,6
"C1030",0,29,"M",4052.56,"SELF-EMP",25,"26-30",203,21
"C10300",0,25,"M",245500,"PROF",7,"<25",435,22
"C10301",0,28,"M",593437.2,"PROF",23,"26-30",896,26
"C10302",0,32,"M",716273.61,"PROF",7,"31-35",979,10
"C10303",0,31,"M",33938.64,"PROF",47,"31-35",287,12
"C10304",0,22,"M",176952.45,"SAL",27,"<25",340,10
"C10305",0,23,"M",201244.06,"PROF",9,"<25",441,3
"C10306",0,43,"M",32126.06,"PROF",23,"41-45",596,20
"C10307",0,43,"M",245500,"PROF",15,"41-45",165,1
"C10308",0,43,"M",63458.36,"SAL",21,"41-45",686,23
"C10309",0,39,"M",245500,"SAL",14,"36-40",299,28
"C1031",0,35,"M",620326.76,"SAL",23,"31-35",479,0
"C10310",0,26,"M",245500,"SAL",5,"26-30",628,24
"C10311",0,25,"M",188735.25,"PROF",36,"<25",703,1
"C10312",0,26,"M",7333.42,"SAL",4,"26-30",899,28
"C10313",0,40,"M",753377.9,"PROF",12,"36-40",489,18
"C10314",0,25,"M",245500,"PROF",1,"<25",731,9
"C10315",0,31,"M",631754.93,"PROF",5,"31-35",634,11
"C10316",0,26,"M",170278.69,"PROF",6,"26-30",802,6
"C10317",0,31,"M",136514.05,"PROF",1,"31-35",499,10
"C10318",1,32,"M",237422.86,"PROF",19,"31-35",617,25
"C10319",0,55,"M",42014.27,"PROF",19,">50",343,5
"C1032",0,51,"M",32145.27,"SAL",18,">50",645,30
"C10320",0,30,"M",540571.25,"PROF",14,"26-30",829,22
"C10321",0,27,"M",226789,"SAL",8,"26-30",754,17
"C10322",0,52,"M",226789,"SAL",49,">50",396,21
"C10323",0,55,"M",248072.05,"SAL",28,">50",804,29
"C10324",1,28,"M",107493.86,"SAL",41,"26-30",569,16
"C10325",1,42,"M",62248.68,"PROF",37,"41-45",637,7
"C10326",1,26,"M",230058.29,"PROF",49,"26-30",629,2
"C10327",1,46,"M",220934.09,"PROF",23,"46-50",609,5
"C10328",0,25,"M",207973.87,"SAL",1,"<25",280,5
"C10329",0,25,"M",216151.56,"PROF",8,"<25",264,0
"C1033",0,43,"M",16525.71,"PROF",2,"41-45",439,12
"C10330",0,34,"M",104022.5,"PROF",36,"31-35",100,16
"C10331",0,24,"M",584232.19,"SAL",27,"<25",254,9
"C10332",0,26,"M",4755.95,"PROF",16,"26-30",668,12
"C10333",0,48,"M",869611.58,"SAL",48,"46-50",344,26
"C10334",0,38,"M",226789,"PROF",36,"36-40",132,5
"C10335",0,49,"M",967389.12,"PROF",15,"46-50",391,31
"C10336",0,24,"M",226789,"PROF",40,"<25",533,6
"C10337",0,25,"M",486717.55,"PROF",13,"<25",912,26
"C10338",0,26,"M",226135.04,"PROF",15,"26-30",419,30
"C10339",0,40,"M",148816.72,"SAL",7,"36-40",170,28
"C1034",0,49,"M",5653.85,"SAL",43,"46-50",171,6
"C10340",0,25,"M",736101.42,"PROF",33,"<25",936,29
"C10341",0,51,"M",83815.72,"PROF",27,">50",609,2
"C10342",0,42,"M",48565.28,"SAL",8,"41-45",472,22
"C10343",0,46,"M",157889.92,"SAL",45,"46-50",756,8
"C10344",0,43,"M",32170,"SAL",42,"41-45",694,8
"C10345",0,26,"M",10889.24,"SAL",16,"26-30",516,13
"C10346",0,50,"M",31656.48,"SAL",41,"46-50",220,3
"C10347",0,31,"M",20211.18,"SAL",37,"31-35",901,17
"C10348",0,44,"M",72969.68,"SELF-EMP",8,"41-45",662,29
"C10349",0,54,"M",54833.18,"SAL",43,">50",204,10
"C1035",1,34,"M",4150.04,"SAL",14,"31-35",964,5
"C10350",0,29,"M",64576.12,"SAL",32,"26-30",344,19
"C10351",0,41,"M",39638.99,"SELF-EMP",16,"41-45",431,30
"C10352",0,43,"M",76223.49,"SELF-EMP",37,"41-45",767,0
"C10353",0,42,"M",93055.07,"SELF-EMP",28,"41-45",766,27
"C10354",0,53,"M",85212.36,"SELF-EMP",22,">50",106,16
"C10355",0,42,"M",32212.45,"SELF-EMP",48,"41-45",821,23
"C10356",0,42,"M",1416.77,"SELF-EMP",42,"41-45",748,24
"C10357",1,37,"M",3193.83,"SELF-EMP",35,"36-40",396,18
"C10358",0,41,"M",1056.95,"SELF-EMP",49,"41-45",485,9
"C10359",0,51,"M",3242.36,"SELF-EMP",0,">50",508,14
"C1036",1,47,"M",35593.81,"SELF-EMP",39,"46-50",845,3
"C10360",0,51,"M",14156.59,"SELF-EMP",43,">50",507,20
"C10361",0,39,"M",5375.83,"PROF",2,"36-40",580,26
"C10362",1,47,"F",1182.32,"SELF-EMP",19,"46-50",929,3
"C10363",1,36,"F",5935.06,"SELF-EMP",12,"36-40",987,16
"C10364",1,43,"F",13389.08,"SELF-EMP",13,"41-45",829,12
"C10365",1,37,"F",5588.28,"SELF-EMP",38,"36-40",933,23
"C10366",1,47,"F",7026.9,"SELF-EMP",27,"46-50",898,24
"C10367",0,54,"M",13340.27,"SELF-EMP",12,">50",270,30
"C10368",0,46,"M",5060.06,"SELF-EMP",35,"46-50",981,23
"C10369",0,53,"M",3001.23,"SELF-EMP",21,">50",787,22
"C1037",1,45,"M",206177.67,"",13,"41-45",516,11
"C10370",0,35,"M",874.62,"SELF-EMP",22,"31-35",296,16
"C10371",0,53,"M",8748.64,"SELF-EMP",3,">50",117,6
"C10372",0,36,"M",8435.94,"SELF-EMP",20,"36-40",338,15
"C10373",0,45,"M",6088.17,"SELF-EMP",33,"41-45",859,31
